Antennae,Arms,Eyes,Legs,Mouth,Pattern,Correct,Response,rt,rules_set,item_name,id,condition,planet_permutation,planet_reverse_permutation,age,gender,education,in_training,training_program,backstory_readtime,rules_readtime,pre_example_readtime,rules_repetition,intermediate_readtime,second_rules_readtime,presurvey_readtime,difficulty,demand,attentive,undisturbed,particularities,presumptions,planet1rules,planet2rules,planet3rules,planet4rules,correctness
1,0,1,0,Teeth,Points,4,4,1642,ruleset2b,test_learning_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,2,0,Teeth,None,2,2,4358,ruleset2b,decoy,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,2,2,6,No teeth,Points,3,3,3398,ruleset2b,interference_new_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,4,2,4,No teeth,Stripes,4,4,3773,ruleset2b,test_memory_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,2,2,None,None,2,2,4468,ruleset2b,decoy,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,4,2,6,Teeth,Points,3,3,1682,ruleset2b,interference_new_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,2,2,0,No teeth,Stripes,4,1,2503,ruleset2b,upper_bound_old_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,False
2,4,1,4,Teeth,None,2,2,5186,ruleset2b,decoy,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,0,1,6,Teeth,Points,3,4,2538,ruleset2b,test_learning_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,False
0,0,3,6,No teeth,Stripes,3,3,1489,ruleset2b,upper_bound_old_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,0,2,6,No teeth,Stripes,4,3,3019,ruleset2b,interference_old_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,False
0,2,3,2,Teeth,Stripes,3,4,5768,ruleset2b,test_memory_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,False
2,2,1,0,None,None,1,1,1584,ruleset2b,decoy,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,4,2,0,Teeth,Points,4,4,2138,ruleset2b,upper_bound_new_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,4,3,0,No teeth,Stripes,3,3,3888,ruleset2b,interference_old_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,0,1,6,Teeth,Points,3,3,1336,ruleset2b,test_learning_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,2,3,0,Teeth,None,1,1,6039,ruleset2b,decoy,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,0,3,6,Teeth,Points,3,3,2206,ruleset2b,upper_bound_new_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,1,6,No teeth,None,2,2,6240,ruleset2b,decoy,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,4,2,4,Teeth,Stripes,4,3,4329,ruleset2b,test_memory_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,False
1,0,3,0,Teeth,Points,4,3,2332,ruleset2b,interference_new_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,False
2,2,2,4,No teeth,None,1,1,2919,ruleset2b,decoy,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,0,3,0,Teeth,Points,4,4,1872,ruleset2b,interference_new_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,4,2,6,No teeth,Stripes,4,4,5025,ruleset2b,interference_old_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,0,1,0,No teeth,Points,4,4,1673,ruleset2b,test_learning_p4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,2,3,4,None,None,1,2,3044,example_1,example_1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,4,2,2,No teeth,None,2,4,3204,example_2,example_2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
1,2,3,6,Teeth,Stripes,3,3,2676,example_3,example_3,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
0,0,2,0,Teeth,Stripes,4,4,4571,example_4,example_4,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
1,2,3,6,No teeth,Stripes,3,3,1774,ruleset1,training_3,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
2,4,1,4,No teeth,None,2,1,1900,ruleset1,training_2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
1,4,2,0,No teeth,Stripes,4,3,1817,ruleset1,training_4,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
0,0,2,0,Teeth,Stripes,4,3,974,ruleset1,training_4,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
1,2,3,0,Teeth,Stripes,3,3,800,ruleset1,training_3,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
2,4,1,0,No teeth,None,2,4,637,ruleset1,training_2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,4,3,6,None,None,2,4,800,ruleset1,training_2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,2,2,2,Teeth,None,1,4,557,ruleset1,training_1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,4,3,4,Teeth,None,2,4,484,ruleset1,training_2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,2,2,0,No teeth,None,1,3,275,ruleset1,training_1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,4,2,6,No teeth,None,2,4,326,ruleset1,training_2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,2,3,2,None,None,1,3,1167,ruleset1,training_1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
1,2,2,6,No teeth,Stripes,4,1,638,ruleset1,training_4,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
1,0,3,4,No teeth,Stripes,3,3,292,ruleset1,training_3,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
0,0,2,2,None,Stripes,4,2,1099,ruleset1,training_4,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
0,0,2,2,No teeth,Stripes,4,4,673,ruleset1,training_4,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
0,2,3,4,No teeth,Stripes,3,1,1699,ruleset1,training_3,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
0,4,3,0,None,Stripes,3,3,517,ruleset1,training_3,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
2,2,1,4,No teeth,None,1,2,1572,ruleset1,training_1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,2,3,2,Teeth,None,1,3,1624,ruleset1,training_1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,4,1,2,No teeth,None,2,2,2350,ruleset2a,upper_bound_p2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
0,4,3,2,None,Stripes,3,2,784,ruleset2a,decoy,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,4,3,0,No teeth,None,2,2,1340,ruleset2a,upper_bound_p2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
2,0,2,0,Teeth,None,1,1,963,ruleset2a,test_learning_p1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
1,2,3,0,No teeth,Stripes,3,2,842,ruleset2a,decoy,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,0,1,2,Teeth,None,1,4,1214,ruleset2a,test_learning_p1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,2,3,0,No teeth,None,2,2,812,ruleset2a,interference_p2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
2,2,1,0,Teeth,None,1,3,2185,ruleset2a,upper_bound_p1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
2,2,2,0,No teeth,None,2,2,1215,ruleset2a,interference_p2,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
1,2,2,0,No teeth,Stripes,4,2,569,ruleset2a,decoy,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
1,0,2,6,No teeth,Stripes,4,4,899,ruleset2a,decoy,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
2,4,3,0,Teeth,None,1,1,1922,ruleset2a,interference_p1,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,True
0,4,2,0,Teeth,Stripes,4,2,1029,ruleset2a,decoy,AUEOSYMUSB,0,"{""1"":3,""2"":2,""3"":1,""4"":4}","{""1"":3,""2"":2,""3"":1,""4"":4}",33,female,high,False,,12272,27403,6689,977435,624440,13024,857,4,2,4,True,,,,,,,False
